date,location_name,day_length,sunrise,sunset,daily_increase,total_increase,source
2026-06-03,Grua,18:29:00,2026-06-03T03:01+01:00,2026-06-03T21:30+01:00,00:00:00,00:00:00,api
2026-06-04,Grua,18:32:00,2026-06-04T03:00+01:00,2026-06-04T21:32+01:00,00:00:00,00:00:00,api
2026-06-06,Grua,18:38:00,2026-06-06T02:57+01:00,2026-06-06T21:35+01:00,00:00:00,00:00:00,api
2026-06-07,Bergen,18:43:00,2026-06-07T03:16+01:00,2026-06-07T21:59+01:00,00:00:00,00:00:00,api
2026-06-07,Grua,18:40:00,2026-06-07T02:56+01:00,2026-06-07T21:36+01:00,00:02:00,11:31:00,api
2026-06-07,Oslo,18:33:00,2026-06-07T02:59+01:00,2026-06-07T21:32+01:00,00:00:00,00:00:00,api
2026-06-15,Grua,18:55:00,2026-06-15T02:50+01:00,2026-06-15T21:45+01:00,00:15:00,11:46:00,api
2026-06-17,Bergen,19:00:00,2026-06-17T03:09+01:00,2026-06-17T22:09+01:00,00:17:00,00:17:00,api
2026-06-17,Grua,18:56:00,2026-06-17T03:50+02:00,2026-06-17T22:46+02:00,00:01:00,11:47:00,api
2026-06-17,Oslo,18:49:00,2026-06-17T02:53+01:00,2026-06-17T21:42+01:00,00:16:00,00:16:00,api
2026-06-18,Bergen,19:01:00,2026-06-18T04:09+02:00,2026-06-18T23:10+02:00,00:01:00,00:18:00,api
2026-06-18,Grua,18:58:00,2026-06-18T03:49+02:00,2026-06-18T22:47+02:00,00:02:00,11:49:00,api
2026-06-18,Oslo,18:49:00,2026-06-18T03:53+02:00,2026-06-18T22:42+02:00,00:00:00,00:16:00,api
2026-06-23,Bergen,19:01:00,2026-06-23T04:10+02:00,2026-06-23T23:11+02:00,00:00:00,00:18:00,api
2026-06-23,Grua,18:58:00,2026-06-23T03:50+02:00,2026-06-23T22:48+02:00,00:00:00,11:49:00,api
2026-06-23,Oslo,18:50:00,2026-06-23T03:54+02:00,2026-06-23T22:44+02:00,00:01:00,00:17:00,api
2026-08-21,Grua,15:10:00,2026-08-21T05:44+02:00,2026-08-21T20:54+02:00,-03:48:00,08:01:00,api
2026-08-21,Oslo,15:07:00,2026-08-21T05:45+02:00,2026-08-21T20:52+02:00,-03:43:00,-03:26:00,api
2026-08-22,Grua,15:04:00,2026-08-22T05:47+02:00,2026-08-22T20:51+02:00,-00:06:00,07:55:00,api
2026-08-22,Oslo,15:01:00,2026-08-22T05:48+02:00,2026-08-22T20:49+02:00,-00:06:00,-03:32:00,api
2026-08-22,Tromsø,16:55:00,2026-08-22T04:17+02:00,2026-08-22T21:12+02:00,00:00:00,00:00:00,api
