date,location_name,day_length,sunrise,sunset,daily_increase,total_increase,reference_date
2026-01-05,Bergen,06:05:00,2026-01-05T09:41+01:00,2026-01-05T15:46+01:00,00:00:00,00:00:00,2026-01-05
2026-01-12,Bergen,06:27:00,2026-01-12T09:33+01:00,2026-01-12T16:00+01:00,00:00:00,00:00:00,2026-01-12
2026-01-19,Bergen,06:54:00,2026-01-19T09:22+01:00,2026-01-19T16:16+01:00,00:00:00,00:00:00,2026-01-19
2026-01-26,Bergen,07:26:00,2026-01-26T09:08+01:00,2026-01-26T16:34+01:00,00:00:00,00:00:00,2026-01-26
2026-02-02,Bergen,08:01:00,2026-02-02T08:52+01:00,2026-02-02T16:53+01:00,00:00:00,00:00:00,2026-02-02
2026-02-09,Bergen,08:38:00,2026-02-09T08:34+01:00,2026-02-09T17:12+01:00,00:00:00,00:00:00,2026-02-09
2026-02-16,Bergen,09:15:00,2026-02-16T08:15+01:00,2026-02-16T17:30+01:00,00:00:00,00:00:00,2026-02-16
2026-02-23,Bergen,09:54:00,2026-02-23T07:55+01:00,2026-02-23T17:49+01:00,00:00:00,00:00:00,2026-02-23
2026-03-02,Bergen,10:32:00,2026-03-02T07:35+01:00,2026-03-02T18:07+01:00,00:00:00,00:00:00,2026-03-02
2026-03-09,Bergen,11:11:00,2026-03-09T07:14+01:00,2026-03-09T18:25+01:00,00:00:00,00:00:00,2026-03-09
2026-03-16,Bergen,11:51:00,2026-03-16T06:52+01:00,2026-03-16T18:43+01:00,00:00:00,00:00:00,2026-03-16
2026-03-23,Bergen,12:29:00,2026-03-23T06:31+01:00,2026-03-23T19:00+01:00,00:00:00,00:00:00,2026-03-23
2026-03-30,Bergen,13:09:00,2026-03-30T07:09+02:00,2026-03-30T20:18+02:00,00:00:00,00:00:00,2026-03-30
2026-04-06,Bergen,13:47:00,2026-04-06T06:48+02:00,2026-04-06T20:35+02:00,00:00:00,00:00:00,2026-04-06
2026-04-13,Bergen,14:25:00,2026-04-13T06:27+02:00,2026-04-13T20:52+02:00,00:00:00,00:00:00,2026-04-13
2026-04-20,Bergen,15:04:00,2026-04-20T06:06+02:00,2026-04-20T21:10+02:00,00:00:00,00:00:00,2026-04-20
2026-04-27,Bergen,15:42:00,2026-04-27T05:46+02:00,2026-04-27T21:28+02:00,00:00:00,00:00:00,2026-04-27
2026-05-04,Bergen,16:20:00,2026-05-04T05:26+02:00,2026-05-04T21:46+02:00,00:00:00,00:00:00,2026-05-04
2026-05-11,Bergen,16:55:00,2026-05-11T05:08+02:00,2026-05-11T22:03+02:00,00:00:00,00:00:00,2026-05-11
2026-05-18,Bergen,17:29:00,2026-05-18T04:51+02:00,2026-05-18T22:20+02:00,00:00:00,00:00:00,2026-05-18
2026-05-25,Bergen,18:00:00,2026-05-25T04:36+02:00,2026-05-25T22:36+02:00,00:00:00,00:00:00,2026-05-25
